성별,측정일자,키,몸무게,머리둘레,목둘레,화장,젖가슴둘레,배꼽수준허리둘레,엉덩이둘레,샅높이,발길이,발폭,희망치수신발,윗가슴둘레(겨드랑이),허리둘레(윗허리),어깨가쪽사이길이,팔길이,등길이,다리가쪽길이,총장
여,2021.6.16,169.4,57.3,55.5,35,84.4,61.5,80.8,91.8,82.5,,,250,84.2,71.7,51.2,60.1,34,99,143
여,2021.6.16,162.2,47.3,53.6,33.1,60.7,75.4,64.4,88.6,78,,,235,77.7,64.7,47.2,36.8,26.5,98.5,135
여,2021.6.16,164.7,63.6,56.7,36.3,74.5,91.2,81,100.6,77.5,,,245,92.4,78.2,49.6,52.7,33.5,97.5,141
여,2021.6.16,166.7,52.3,55.2,34.3,76.8,85.6,74.1,92.6,79,,,0,85.1,69.3,48.3,55.6,29.5,101,140.5
여,2021.6.16,166,62.3,55.6,36,76.2,87.2,81.1,97.7,76,,,240,87.8,76.6,50.9,52.2,36,93,139
여,2021.6.16,165.4,65.2,54.7,36.5,63.5,90.4,82.1,100.1,73,,,245,89.9,79.2,43.4,42.1,33.5,97,140.5
여,2021.6.16,171.7,69.9,57.5,37,79.1,96.3,82.1,103.2,79,,,250,97.2,80.8,56.8,51.4,35,99.5,144.5
여,2021.6.16,164.5,54.7,54.1,34.5,77.8,85.8,72.9,91.8,76.5,,,0,82.5,71.2,50.9,54.2,30.5,98,138.5
여,2021.6.16,162.9,52.8,56.7,34.4,73.3,83.7,74.7,92.9,75,,,245,81.7,70.6,46.1,52.3,32,94,136
여,2021.6.16,170,61.9,55.4,35.8,78.7,87.1,83.3,98.7,79.5,,,250,89.8,74.5,50,56.5,36,97.5,143.5
여,2021.6.16,162.5,70.2,55.7,37.9,76.6,99.8,85.3,104.7,76.5,,,240,97.4,85.2,53.3,52.9,31,96,137
여,2021.6.16,162.6,45.4,52.6,33,0,77.6,63,87.9,74.5,,,225,79.2,64.3,0,147,36.6,94,140.6
여,2021.6.16,160.2,52.3,56.1,34.3,70.8,80.8,70.9,95.9,74.5,,,230,84.3,70.9,44.9,50.1,30,95,135
여,2021.6.16,161.5,47.7,53.5,33.1,54.6,82.4,65,88.5,75,,,240,85.2,64.9,46.9,30.4,22.5,102.5,135
여,2021.6.16,161.6,59.9,54.6,36.1,66.5,89.8,80.5,98.5,77,,,235,88.3,77.5,50.8,42.6,30,96,136
여,2021.6.16,168.4,64.8,56.4,36.3,75.4,92.1,79.5,101.4,80,,,245,90.1,77.6,46,52.9,32.5,99.5,142
여,2021.6.16,165.7,66.2,58.9,36.7,77.4,93.1,89.8,100.6,76.5,,,250,91,80.1,50.1,54.6,36.5,92.5,139
여,2021.6.16,156.1,62.6,56.4,36.3,75,95.8,83.4,99.9,72,,,230,93.7,79.2,48.6,53.2,30,92,132
여,2021.6.16,163.9,53.2,57.3,34.5,78,85.5,75.9,92.6,77,,,245,88,71,42.4,57.5,31,96.5,137.5
여,2021.6.16,153.7,61.4,53.2,36.7,59.4,93.5,75.2,99.7,67.5,,,235,91.9,78.8,51.5,35.4,30,89,129
여,2021.6.16,172.5,79.6,58.4,38.7,80.1,102.8,92.6,106.8,79.5,,,260,100.4,88.3,52.8,56,31,105,146
여,2021.6.16,158.4,52.9,57.2,34.7,74.4,85.6,76,96.3,74.5,,,240,86,71.8,46.3,52.8,30.5,91.5,132
여,2021.6.16,161.3,52.7,56.3,34.4,75.3,81.9,72.4,94.3,76,,,0,80.3,71,41.3,58.5,32,94.5,136.5
여,2021.6.16,159.4,64.2,54.8,37.2,73.9,95.5,86.2,100.6,72.5,,,245,95.5,81.4,52.2,49.3,35,89,134
여,2021.6.16,163.7,56.5,55,34.9,76.7,87.2,74.9,94.8,75,,,250,86.5,73.3,46.4,53.1,28,98,136
여,2021.6.16,166.5,62.3,54.8,36,79.5,92.2,75.9,96.3,77.5,,,250,91.2,76.4,50.4,56.1,30,99,139
여,2021.6.16,159.9,58.5,56.2,36.1,74.5,93.6,77.6,99.7,74,,,230,91.7,76.6,43.7,54.4,29.5,94.5,134
여,2021.6.16,162.6,71,58.3,38,78.4,92.1,87.4,106.7,78,,,240,91.3,85.9,53.9,53.4,29,98.5,137.5
여,2021.6.16,173.2,72.7,56.8,37.5,86.4,89.5,90.3,103.4,78,,,250,93,82.4,59,56.7,37.5,98.5,146
여,2021.6.16,161.1,52.7,55.8,34.5,71.2,81,69.2,95.1,73,,,235,83.4,71.1,48.9,48.9,28,97,135
여,2021.6.16,164.3,62.2,54,36.2,85.9,90.8,127.7,96.8,75.5,,,245,92.3,77.4,49.5,61.6,32,98.5,140.5
여,2021.6.16,161.3,52.1,54.7,34.2,81.5,83.3,76.5,92.7,74.5,,,240,79.2,70.2,42.8,60.5,31,93,134
여,2021.6.16,167,63.5,55.5,36.2,72.9,88.8,82.9,98.2,79,,,245,89.3,77.2,46.3,53.1,37.5,94,141.5
여,2021.6.16,154.7,46.5,57.6,32.5,72.9,80.7,68.7,90.2,75,,,220,81.6,66.1,45,51.8,24.5,95,129.5
여,2021.6.16,169.4,68.6,54.8,36.9,65,96.1,88.3,99.5,80.5,,,250,94.5,80.3,45.5,42.8,33,99.5,142.5
여,2021.6.16,162.7,51,55.5,34.1,76,83.1,70.8,93.9,75.5,,,245,83.6,68.8,45.4,53.3,30,96.5,136.5
여,2021.6.16,162.7,53.1,56.4,34.4,75.1,80.9,72.9,91.6,75.5,,,240,83.8,70.8,43.8,54.4,33,94.5,137.5
여,2021.6.16,164.1,57.2,53.2,35.2,70.6,83.9,75.2,92.6,76.5,,,240,87.5,73.8,50.2,45.4,33,96.5,139.5
여,2021.6.16,158.7,64.5,53.5,37.3,66.3,93.4,83.5,100.4,70.5,,,235,93.1,82.3,56,39,32.5,90.5,133
여,2021.6.16,165.8,57.3,54.1,35.1,72.9,81.4,73.1,95.1,73.5,,,245,5.3,73.2,49.9,49.1,33,94.5,137.5
여,2021.6.16,167.1,56.5,54.2,34.9,60.9,84.5,75.3,93.6,80,,,240,85.4,72,41,41.8,33.5,98.5,142
여,2021.6.16,167.6,61.8,55.4,35.8,67.3,86.8,78.7,98.5,77.5,,,245,87.8,75.3,48,44.6,33.5,96.5,140
여,2021.6.16,167.3,62.9,58.8,36,80,90,80.5,96.8,76,,,235,88.3,76.5,46.1,58.5,34,97,141
여,2021.6.16,160.4,52.3,53.1,34.3,71.5,87.8,70.3,90.1,75,,,245,87.1,70.8,44.3,50.9,31.5,94.5,136
여,2021.6.16,155.9,71,52.8,38.4,65.6,98.5,94.1,108.1,65,,,230,97.3,86.9,47.6,42.1,33,86,129
여,2021.6.16,162.4,51.1,51.7,34.1,69.7,81.6,69.6,89.3,77,,,0,83.6,69.3,43.4,49,28.5,96.5,135
여,2021.6.16,163.5,48.6,55.7,33.6,74,78.9,66.9,87.4,78.5,,,240,79.3,66.4,47.1,51.6,30,98,138
여,2021.6.16,158,51.6,51.1,34.3,57,80.9,69.3,95,68,,,235,84,70.3,43,36.3,25,95,130
여,2021.6.16,168.9,52.8,52.8,34.3,0,80.6,70.8,90.2,80,,,245,85.2,69,0,154,26.9,100.5,137.4
여,2021.6.16,167.9,87.5,55.1,40.6,74.2,101.4,93.1,113.8,77.5,,,250,97.6,96.6,55.7,48.8,34.5,98.5,143
여,2021.6.16,160.2,66.4,54.7,37.5,74.1,94.9,83.2,97.9,66.5,,,245,95.4,82.7,54.2,49.9,33,90,133
여,2021.6.16,158.4,49.2,54.7,33.5,72.7,84.1,72.1,92.1,73.5,,,230,83.8,68.7,47,51.3,31,93,134
여,2021.6.16,170.2,62.3,54.3,35.9,69.5,85.7,72.7,98.4,79,,,260,86.3,74.8,50.7,45.2,33,100,143
여,2021.6.16,172.4,58.5,54.9,35.2,71.9,78.7,75.6,97.5,77.5,,,250,2.5,71.8,15.9,73.2,27.6,95.5,133.1
여,2021.6.16,166.9,67.8,54,36.9,82.9,92.9,81.8,100.2,80,,,230,91.7,80.7,54,59.4,32,98.5,140.5
여,2021.6.16,164.6,58.2,55,35.4,79.7,91.3,74.3,97.5,75,,,230,90.2,74.2,46.8,57.6,31,96,137
여,2021.6.16,162.8,64.8,54.8,36.8,67,91.3,75,100.3,77.5,,,245,93,80.3,48.9,44.1,27.5,99,136.5
여,2021.6.16,160.3,48.8,54.7,33.5,74.6,81.1,73.8,91.5,75,,,230,83.5,66.8,42.2,55.8,32,93,135
여,2021.6.16,168.4,59.5,54.3,35.4,68.6,2,73.3,94.1,78,,,0,89.6,73.5,47.9,46.3,31.5,99,140.5
여,2021.6.16,153.6,54.1,53.3,34.4,61.9,86.6,77.5,97.1,69,,,230,86.4,75.1,44.6,39.1,26.5,89.5,126
여,2021.6.16,161.3,51.4,56.5,34.2,73.1,86.3,67.5,94.7,79,,,230,87.9,70,44,51.8,26.5,99,135.5
여,2021.6.16,158.6,50.3,52,33.9,0,84.2,72.2,92.6,73,,,205,85,69.5,0,152.6,32,91,133
여,2021.6.16,166.1,50.6,54.6,33.8,73,79.8,67.7,91.4,78.5,,,230,81.2,67.5,41.1,52.6,30.5,100,140.5
여,2021.6.16,164,56.1,56.2,34.9,72.7,82,67.6,93.5,72.5,,,240,84,72.9,48.4,49.5,33,94.5,137.5
여,2021.6.16,165.8,50.5,54.7,33.8,64.8,78,70.7,91.7,76.5,,,240,80,67.5,47.9,41,33.5,94,137.5
여,2021.6.16,165.6,63.7,53.7,36.3,62.7,90.9,83.1,100.8,76.5,,,245,92.2,78.1,47.3,39.1,36,93.5,139.5
여,2021.6.16,167.4,52.9,51.6,34.3,0,77.9,66.7,91.4,80.5,,,0,79.1,69.5,0,146.7,32.5,102,144.5
여,2021.6.16,158.5,67.7,56.3,37.8,0,104.1,85.9,100.2,71,,,240,91.5,84.6,0,159.2,40.5,93,143.5
여,2021.6.16,159.3,60.2,56.8,36.5,74.8,92.3,79.6,98.4,74.5,,,240,92.7,78.2,49,51.7,31,93,134
여,2021.6.16,159.6,62.9,53.6,36.8,65.2,89.3,78.8,96.8,72,,,235,91,80.1,56.6,37.2,29.5,94.5,134
여,2021.6.16,173.3,56.6,53.6,34.9,69.8,80.5,70.8,95.1,83.5,,,240,82.8,70.6,47,46.8,30.5,106,146.5
여,2021.6.16,158.6,49.9,51.6,33.6,78.2,83.5,68.1,90,73.5,,,240,84.1,69.3,48.9,54.7,28,95,133
여,2021.6.16,175.9,61.2,53.1,35.8,64.7,84.3,79.3,94.9,82.5,,,250,83.6,73.3,51.7,40.3,39,101.5,150.5
여,2021.6.16,165.2,57.7,55.3,35.3,77.3,88.7,73.7,97.9,80,,,250,90.4,73.7,47.6,54.2,30.5,99,139.5
여,2021.6.16,167.4,54,55.2,34.5,59.5,84,68.2,92.3,78,,,240,85,70.3,42.4,40.2,31.5,99,140.5
여,2021.6.16,164.9,77.2,57.8,38.9,77,98.5,85.7,109.8,77,,,250,97.4,89.6,49.9,53.1,30.5,99.5,140
여,2021.6.16,169.3,51,53.1,34.1,73.2,80,71.5,87.9,80.5,,,0,78.9,67.7,42.2,50.6,30,103.5,143.5
여,2021.6.16,159.7,48.5,52,33.5,70.7,73.8,69.9,91.1,73.5,,,240,78.3,67.4,45,48.5,30.5,93,133.5
여,2021.6.16,166.8,52.9,53.2,34.4,76.7,80.6,71.6,92.7,76.5,,,240,83.2,69.7,39.3,56.4,33,97.5,140.5
여,2021.6.16,168.7,78.8,55.2,38.9,76,101.6,89.3,109,79.5,,,250,99.7,89.7,51.6,51.7,33,101,144
여,2021.6.16,155,45.4,54.4,32.5,74.8,76.5,67.2,90.2,73.5,,,245,79.2,66.1,43,55.6,27.5,92.5,130
여,2021.6.16,164.1,81.4,55.2,39.5,81.6,104.5,116.3,114.7,72.5,,,245,102.4,91.8,52.6,57.7,30,97.5,137.5
여,2021.6.16,164.8,62.2,54.8,36.1,76.5,88.4,82.5,95.3,76.5,,,250,86.3,77,49.8,52.7,33.5,95,138.5
여,2021.6.16,165.3,60.7,54,35.7,68.9,90.3,75.6,94.5,81,,,245,88.5,75.6,55.1,42.7,29.5,100.5,140
여,2021.6.16,166.5,60.1,52.6,35.5,75.9,90.8,78.5,99.8,66,,,245,88.4,74.7,41.6,55.4,31,98.5,139.5
여,2021.6.16,168.1,57,53.9,34.9,76.2,87.5,70.3,92.8,79,,,0,87.6,71.9,46.2,54,34,97,141
여,2021.6.16,165.3,46.9,55.1,33.2,81.7,78.2,70.5,88.9,78.5,,,250,77.9,64.9,46.3,58.8,33,97.5,140.5
여,2021.6.16,171.8,56.4,55.6,34.9,77,79.3,78.8,95.6,79.5,,,250,82.4,70.6,46.4,54.8,37.5,97.5,145
여,2021.6.16,166.3,79.1,59.3,39.1,71,100.7,85.2,108.6,81.5,,,255,102.6,90.5,52,46.4,30,102,142
여,2021.6.16,167.1,72.9,58.1,37.9,81.4,106.4,91.7,103.2,78,,,245,103.1,85.2,59.3,52.8,35.5,95.5,141
여,2021.6.16,162.2,53.3,55.6,34.5,71.4,84.1,70.5,97.2,74.5,,,240,85.6,71.2,43,52.2,30,97,137
여,2021.6.16,162.6,73.1,54.3,38.4,81.6,97.3,86.7,103,75.5,,,255,94.8,87.3,53.2,58.7,34,94,138
여,2021.6.16,168.9,72.4,52.7,37.7,74.6,95.9,86,104.3,77,,,240,95.5,84.2,54.5,48.9,37,94,141
여,2021.6.16,169.6,58.8,54.2,35.2,81.9,87.6,79,96.1,79.5,,,245,88.4,72.6,46.5,60.1,32,99.5,141.5
여,2021.6.16,169.9,63.7,52.5,36.1,68.1,88.3,81.2,97.9,79,,,240,89.9,76.1,49.7,45.2,37.5,96,143.5
여,2021.6.16,166.8,51.4,56.2,34.2,75.5,81.2,70.7,91,76,,,240,84.1,68.7,49,51.4,32.5,97,139.5
여,2021.6.16,165.2,62.9,56.8,36.1,73.7,95.6,75.6,102,77,,,250,96.8,77.5,52.2,49.1,30,97.5,137.5
여,2021.6.16,158.7,61.2,54.4,36.4,72.6,94.1,83.6,97.4,66,,,250,93,78.8,52.1,48.2,35,89,134
여,2021.6.16,163.4,56.5,53.1,35,62.8,88.2,78.5,93.9,77,,,240,86.7,73.4,46.7,41.2,34.5,93,137.5
여,2021.6.16,157.8,62,54.4,36.6,74.4,94.6,78.7,98.5,70.5,,,240,94.4,78.8,48.6,51.1,29.5,92,131.5
여,2021.6.16,167.4,56.2,55.2,34.8,72.5,85.7,76.7,95.5,78,,,245,88.2,71.7,47,51.1,35,95,140
여,2021.6.16,167.4,75.4,56.8,38.2,77.8,99.6,88,104.7,72,,,240,94.4,87.3,47.2,56.2,35,94.5,139.5
여,2021.6.16,165.8,50.5,54.7,33.8,64.8,78,70.7,91.7,76.5,,,240,80,67.5,47.9,41,33.5,94,137.5
여,2021.6.16,165.6,63.7,53.7,36.3,62.7,90.9,83.1,100.8,76.5,,,245,92.2,78.1,47.3,39.1,36,93.5,139.5
여,2021.6.16,167.4,52.9,51.6,34.3,0,77.9,66.7,91.4,80.5,,,0,79.1,69.5,0,146.7,32.5,102,144.5
여,2021.6.16,158.5,67.7,56.3,37.8,0,104.1,85.9,100.2,71,,,240,91.5,84.6,0,159.2,40.5,93,143.5
여,2021.6.16,159.3,60.2,56.8,36.5,74.8,92.3,79.6,98.4,74.5,,,240,92.7,78.2,49,51.7,31,93,134
여,2021.6.16,159.6,62.9,53.6,36.8,65.2,89.3,78.8,96.8,72,,,235,91,80.1,56.6,37.2,29.5,94.5,134
여,2021.6.16,173.3,56.6,53.6,34.9,69.8,80.5,70.8,95.1,83.5,,,240,82.8,70.6,47,46.8,30.5,106,146.5
여,2021.6.16,158.6,49.9,51.6,33.6,78.2,83.5,68.1,90,73.5,,,240,84.1,69.3,48.9,54.7,28,95,133
여,2021.6.16,175.9,61.2,53.1,35.8,64.7,84.3,79.3,94.9,82.5,,,250,83.6,73.3,51.7,40.3,39,101.5,150.5
여,2021.6.16,165.2,57.7,55.3,35.3,77.3,88.7,73.7,97.9,80,,,250,90.4,73.7,47.6,54.2,30.5,99,139.5
여,2021.6.16,167.4,54,55.2,34.5,59.5,84,68.2,92.3,78,,,240,85,70.3,42.4,40.2,31.5,99,140.5
여,2021.6.16,164.9,77.2,57.8,38.9,77,98.5,85.7,109.8,77,,,250,97.4,89.6,49.9,53.1,30.5,99.5,140
여,2021.6.16,169.3,51,53.1,34.1,73.2,80,71.5,87.9,80.5,,,0,78.9,67.7,42.2,50.6,30,103.5,143.5
여,2021.6.16,159.7,48.5,52,33.5,70.7,73.8,69.9,91.1,73.5,,,240,78.3,67.4,45,48.5,30.5,93,133.5
여,2021.6.16,166.8,52.9,53.2,34.4,76.7,80.6,71.6,92.7,76.5,,,240,83.2,69.7,39.3,56.4,33,97.5,140.5
여,2021.6.16,168.7,78.8,55.2,38.9,76,101.6,89.3,109,79.5,,,250,99.7,89.7,51.6,51.7,33,101,144
여,2021.6.16,155,45.4,54.4,32.5,74.8,76.5,67.2,90.2,73.5,,,245,79.2,66.1,43,55.6,27.5,92.5,130
여,2021.6.16,164.1,81.4,55.2,39.5,81.6,104.5,116.3,114.7,72.5,,,245,102.4,91.8,52.6,57.7,30,97.5,137.5
여,2021.6.16,165.8,50.5,54.7,33.8,64.8,78,70.7,91.7,76.5,,,240,80,67.5,47.9,41,33.5,94,137.5
여,2021.6.16,165.6,63.7,53.7,36.3,62.7,90.9,83.1,100.8,76.5,,,245,92.2,78.1,47.3,39.1,36,93.5,139.5
여,2021.6.16,167.4,52.9,51.6,34.3,0,77.9,66.7,91.4,80.5,,,0,79.1,69.5,0,146.7,32.5,102,144.5
여,2021.6.16,158.5,67.7,56.3,37.8,0,104.1,85.9,100.2,71,,,240,91.5,84.6,0,159.2,40.5,93,143.5
여,2021.6.16,159.3,60.2,56.8,36.5,74.8,92.3,79.6,98.4,74.5,,,240,92.7,78.2,49,51.7,31,93,134
여,2021.6.16,159.6,62.9,53.6,36.8,65.2,89.3,78.8,96.8,72,,,235,91,80.1,56.6,37.2,29.5,94.5,134
여,2021.6.16,173.3,56.6,53.6,34.9,69.8,80.5,70.8,95.1,83.5,,,240,82.8,70.6,47,46.8,30.5,106,146.5
여,2021.6.16,158.6,49.9,51.6,33.6,78.2,83.5,68.1,90,73.5,,,240,84.1,69.3,48.9,54.7,28,95,133
여,2021.6.16,175.9,61.2,53.1,35.8,64.7,84.3,79.3,94.9,82.5,,,250,83.6,73.3,51.7,40.3,39,101.5,150.5
여,2021.6.16,165.2,57.7,55.3,35.3,77.3,88.7,73.7,97.9,80,,,250,90.4,73.7,47.6,54.2,30.5,99,139.5
여,2021.6.16,167.4,54,55.2,34.5,59.5,84,68.2,92.3,78,,,240,85,70.3,42.4,40.2,31.5,99,140.5
여,2021.6.16,164.9,77.2,57.8,38.9,77,98.5,85.7,109.8,77,,,250,97.4,89.6,49.9,53.1,30.5,99.5,140
여,2021.6.16,169.3,51,53.1,34.1,73.2,80,71.5,87.9,80.5,,,0,78.9,67.7,42.2,50.6,30,103.5,143.5
여,2021.6.16,159.7,48.5,52,33.5,70.7,73.8,69.9,91.1,73.5,,,240,78.3,67.4,45,48.5,30.5,93,133.5
여,2021.6.16,166.8,52.9,53.2,34.4,76.7,80.6,71.6,92.7,76.5,,,240,83.2,69.7,39.3,56.4,33,97.5,140.5
여,2021.6.16,165.8,50.5,54.7,33.8,64.8,78,70.7,91.7,76.5,,,240,80,67.5,47.9,41,33.5,94,137.5
여,2021.6.16,165.6,63.7,53.7,36.3,62.7,90.9,83.1,100.8,76.5,,,245,92.2,78.1,47.3,39.1,36,93.5,139.5
여,2021.6.16,167.4,52.9,51.6,34.3,0,77.9,66.7,91.4,80.5,,,0,79.1,69.5,0,146.7,32.5,102,144.5
여,2021.6.16,158.5,67.7,56.3,37.8,0,104.1,85.9,100.2,71,,,240,91.5,84.6,0,159.2,40.5,93,143.5
여,2021.6.16,159.3,60.2,56.8,36.5,74.8,92.3,79.6,98.4,74.5,,,240,92.7,78.2,49,51.7,31,93,134
여,2021.6.16,159.6,62.9,53.6,36.8,65.2,89.3,78.8,96.8,72,,,235,91,80.1,56.6,37.2,29.5,94.5,134
여,2021.6.16,173.3,56.6,53.6,34.9,69.8,80.5,70.8,95.1,83.5,,,240,82.8,70.6,47,46.8,30.5,106,146.5
여,2021.6.16,158.6,49.9,51.6,33.6,78.2,83.5,68.1,90,73.5,,,240,84.1,69.3,48.9,54.7,28,95,133
여,2021.6.16,175.9,61.2,53.1,35.8,64.7,84.3,79.3,94.9,82.5,,,250,83.6,73.3,51.7,40.3,39,101.5,150.5
여,2021.6.16,165.2,57.7,55.3,35.3,77.3,88.7,73.7,97.9,80,,,250,90.4,73.7,47.6,54.2,30.5,99,139.5
여,2021.6.16,167.4,54,55.2,34.5,59.5,84,68.2,92.3,78,,,240,85,70.3,42.4,40.2,31.5,99,140.5
여,2021.6.16,164.9,77.2,57.8,38.9,77,98.5,85.7,109.8,77,,,250,97.4,89.6,49.9,53.1,30.5,99.5,140
여,2021.6.16,169.3,51,53.1,34.1,73.2,80,71.5,87.9,80.5,,,0,78.9,67.7,42.2,50.6,30,103.5,143.5
여,2021.6.16,159.7,48.5,52,33.5,70.7,73.8,69.9,91.1,73.5,,,240,78.3,67.4,45,48.5,30.5,93,133.5
여,2021.6.16,166.8,52.9,53.2,34.4,76.7,80.6,71.6,92.7,76.5,,,240,83.2,69.7,39.3,56.4,33,97.5,140.5
여,2021.6.16,168.7,78.8,55.2,38.9,76,101.6,89.3,109,79.5,,,250,99.7,89.7,51.6,51.7,33,101,144
여,2021.6.16,155,45.4,54.4,32.5,74.8,76.5,67.2,90.2,73.5,,,245,79.2,66.1,43,55.6,27.5,92.5,130
여,2021.6.16,164.1,81.4,55.2,39.5,81.6,104.5,116.3,114.7,72.5,,,245,102.4,91.8,52.6,57.7,30,97.5,137.5
여,2021.6.16,164.8,62.2,54.8,36.1,76.5,88.4,82.5,95.3,76.5,,,250,86.3,77,49.8,52.7,33.5,95,138.5
여,2021.6.16,164.9,77.2,57.8,38.9,77,98.5,85.7,109.8,77,,,250,97.4,89.6,49.9,53.1,30.5,99.5,140
여,2021.6.16,169.3,51,53.1,34.1,73.2,80,71.5,87.9,80.5,,,0,78.9,67.7,42.2,50.6,30,103.5,143.5
여,2021.6.16,159.7,48.5,52,33.5,70.7,73.8,69.9,91.1,73.5,,,240,78.3,67.4,45,48.5,30.5,93,133.5
여,2021.6.16,166.8,52.9,53.2,34.4,76.7,80.6,71.6,92.7,76.5,,,240,83.2,69.7,39.3,56.4,33,97.5,140.5
여,2021.6.16,164.9,77.2,57.8,38.9,77,98.5,85.7,109.8,77,,,250,97.4,89.6,49.9,53.1,30.5,99.5,140
여,2021.6.16,164.9,77.2,57.8,38.9,77,98.5,85.7,109.8,77,,,250,97.4,89.6,49.9,53.1,30.5,99.5,140
여,2021.6.16,169.3,51,53.1,34.1,73.2,80,71.5,87.9,80.5,,,0,78.9,67.7,42.2,50.6,30,103.5,143.5
여,2021.6.16,159.7,48.5,52,33.5,70.7,73.8,69.9,91.1,73.5,,,240,78.3,67.4,45,48.5,30.5,93,133.5
여,2021.6.16,166.8,52.9,53.2,34.4,76.7,80.6,71.6,92.7,76.5,,,240,83.2,69.7,39.3,56.4,33,97.5,140.5
여,2021.6.16,165.8,50.5,54.7,33.8,64.8,78,70.7,91.7,76.5,,,240,80,67.5,47.9,41,33.5,94,137.5
여,2021.6.16,165.6,63.7,53.7,36.3,62.7,90.9,83.1,100.8,76.5,,,245,92.2,78.1,47.3,39.1,36,93.5,139.5